icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
5939,Unspecified disorder of kidney and ureter,N289,"Disorder of kidney and ureter, unspecified",1,0,0,0,0,one_to_one
5940,Calculus in diverticulum of bladder,N210,Calculus in bladder,1,0,0,0,0,one_to_one
5941,Other calculus in bladder,N210,Calculus in bladder,1,0,0,0,0,one_to_one
5964,Atony of bladder,N312,"Flaccid neuropathic bladder, not elsewhere classified",1,0,0,0,0,one_to_one
59652,Low bladder compliance,N318,Other neuromuscular dysfunction of bladder,1,0,0,0,0,one_to_one
59654,Neurogenic bladder NOS,N319,"Neuromuscular dysfunction of bladder, unspecified",1,0,0,0,0,one_to_one
59659,Other functional disorder of bladder,N319,"Neuromuscular dysfunction of bladder, unspecified",1,0,0,0,0,one_to_one
5966,"Rupture of bladder, nontraumatic",N3289,Other specified disorders of bladder,1,0,0,0,0,one_to_one
5967,Hemorrhage into bladder wall,N3289,Other specified disorders of bladder,1,0,0,0,0,one_to_one
59689,Other specified disorders of bladder,N3289,Other specified disorders of bladder,1,0,0,0,0,one_to_one
59789,Other urethritis,N342,Other urethritis,1,0,0,0,0,one_to_one
59800,Urethral stricture due to unspecified infection,N35111,"Postinfective urethral stricture, not elsewhere classified, male, meatal",1,0,0,0,0,one_to_one
5982,Postoperative urethral stricture,N99110,"Postprocedural urethral stricture, male, meatal",1,0,0,0,0,one_to_one
5995,Prolapsed urethral mucosa,N368,Other specified disorders of urethra,1,0,0,0,0,one_to_one
59960,"Urinary obstruction, unspecified",N139,"Obstructive and reflux uropathy, unspecified",1,0,0,0,0,one_to_one
59969,"Urinary obstruction, not elsewhere classified",N139,"Obstructive and reflux uropathy, unspecified",1,0,0,0,0,one_to_one
59981,Urethral hypermobility,N3641,Hypermobility of urethra,1,0,0,0,0,one_to_one
59982,Intrinsic (urethral) sphincter deficiency [ISD],N3642,Intrinsic sphincter deficiency (ISD),1,0,0,0,0,one_to_one
59984,Other specified disorders of urethra,N368,Other specified disorders of urethra,1,0,0,0,0,one_to_one
60000,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),N400,Benign prostatic hyperplasia without lower urinary tract symptoms,1,0,0,0,0,one_to_one
60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),N401,Benign prostatic hyperplasia with lower urinary tract symptoms,1,0,0,0,0,one_to_one
60010,Nodular prostate without urinary obstruction,N402,Nodular prostate without lower urinary tract symptoms,1,0,0,0,0,one_to_one
60011,Nodular prostate with urinary obstruction,N403,Nodular prostate with lower urinary tract symptoms,1,0,0,0,0,one_to_one
60020,Benign localized hyperplasia of prostate without urinary obstruction and other lower urinary tract symptoms (LUTS),N400,Benign prostatic hyperplasia without lower urinary tract symptoms,1,0,0,0,0,one_to_one
60021,Benign localized hyperplasia of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),N401,Benign prostatic hyperplasia with lower urinary tract symptoms,1,0,0,0,0,one_to_one
60090,"Hyperplasia of prostate, unspecified, without urinary obstruction and other lower urinary symptoms (LUTS)",N400,Benign prostatic hyperplasia without lower urinary tract symptoms,1,0,0,0,0,one_to_one
60091,"Hyperplasia of prostate, unspecified, with urinary obstruction and other lower urinary symptoms (LUTS)",N401,Benign prostatic hyperplasia with lower urinary tract symptoms,1,0,0,0,0,one_to_one
6028,Other specified disorders of prostate,N4289,Other specified disorders of prostate,1,0,0,0,0,one_to_one
6040,"Orchitis, epididymitis, and epididymo-orchitis, with abscess",N454,Abscess of epididymis or testis,1,0,0,0,0,one_to_one
6060,Azoospermia,N4601,Organic azoospermia,1,0,0,0,0,one_to_one
6072,Other inflammatory disorders of penis,N4829,Other inflammatory disorders of penis,1,0,0,0,0,one_to_one
6073,Priapism,N4830,"Priapism, unspecified",1,0,0,0,0,one_to_one
60781,Balanitis xerotica obliterans,N480,Leukoplakia of penis,1,0,0,0,0,one_to_one
60782,Vascular disorders of penis,N501,Vascular disorders of male genital organs,1,0,0,0,0,one_to_one
60783,Edema of penis,N4889,Other specified disorders of penis,1,0,0,0,0,one_to_one
60784,Impotence of organic origin,N529,"Male erectile dysfunction, unspecified",1,0,0,0,0,one_to_one
60785,Peyronie's disease,N486,Induration penis plastica,1,0,0,0,0,one_to_one
6081,Spermatocele,N4340,"Spermatocele of epididymis, unspecified",1,0,0,0,0,one_to_one
6084,Other inflammatory disorders of male genital organs,N499,Inflammatory disorder of unspecified male genital organ,1,0,0,0,0,one_to_one
60883,Vascular disorders of male genital organs,N501,Vascular disorders of male genital organs,1,0,0,0,0,one_to_one
60884,Chylocele of tunica vaginalis,N5089,Other specified disorders of the male genital organs,1,0,0,0,0,one_to_one
60886,Edema of male genital organs,N5089,Other specified disorders of the male genital organs,1,0,0,0,0,one_to_one
6100,Solitary cyst of breast,N6009,Solitary cyst of unspecified breast,1,0,0,0,0,one_to_one
6101,Diffuse cystic mastopathy,N6019,Diffuse cystic mastopathy of unspecified breast,1,0,0,0,0,one_to_one
6102,Fibroadenosis of breast,N6029,Fibroadenosis of unspecified breast,1,0,0,0,0,one_to_one
6103,Fibrosclerosis of breast,N6039,Fibrosclerosis of unspecified breast,1,0,0,0,0,one_to_one
6104,Mammary duct ectasia,N6049,Mammary duct ectasia of unspecified breast,1,0,0,0,0,one_to_one
6108,Other specified benign mammary dysplasias,N6089,Other benign mammary dysplasias of unspecified breast,1,0,0,0,0,one_to_one
6115,Galactocele,N6489,Other specified disorders of breast,1,0,0,0,0,one_to_one
61183,Capsular contracture of breast implant,N6489,Other specified disorders of breast,1,0,0,0,0,one_to_one
61189,Other specified disorders of breast,N6489,Other specified disorders of breast,1,0,0,0,0,one_to_one
6148,Other specified inflammatory disease of female pelvic organs and tissues,N738,Other specified female pelvic inflammatory diseases,1,0,0,0,0,one_to_one
6149,Unspecified inflammatory disease of female pelvic organs and tissues,N739,"Female pelvic inflammatory disease, unspecified",1,0,0,0,0,one_to_one
61611,Vaginitis and vulvovaginitis in diseases classified elsewhere,N771,"Vaginitis, vulvitis and vulvovaginitis in diseases classified elsewhere",1,0,0,0,0,one_to_one
6162,Cyst of Bartholin's gland,N750,Cyst of Bartholin's gland,1,0,0,0,0,one_to_one
6169,"Unspecified inflammatory disease of cervix, vagina, and vulva",N739,"Female pelvic inflammatory disease, unspecified",1,0,0,0,0,one_to_one
61800,Unspecified prolapse of vaginal walls,N819,"Female genital prolapse, unspecified",1,0,0,0,0,one_to_one
61809,Other prolapse of vaginal walls without mention of uterine prolapse,N8189,Other female genital prolapse,1,0,0,0,0,one_to_one
6181,Uterine prolapse without mention of vaginal wall prolapse,N812,Incomplete uterovaginal prolapse,1,0,0,0,0,one_to_one
6182,"Uterovaginal prolapse, incomplete",N812,Incomplete uterovaginal prolapse,1,0,0,0,0,one_to_one
6187,Old laceration of muscles of pelvic floor,N8189,Other female genital prolapse,1,0,0,0,0,one_to_one
61889,Other specified genital prolapse,N8189,Other female genital prolapse,1,0,0,0,0,one_to_one
6189,Unspecified genital prolapse,N819,"Female genital prolapse, unspecified",1,0,0,0,0,one_to_one
6191,"Digestive-genital tract fistula, female",N824,Other female intestinal-genital tract fistulae,1,0,0,0,0,one_to_one
6198,Other specified fistulas involving female genital tract,N828,Other female genital tract fistulae,1,0,0,0,0,one_to_one
6205,"Torsion of ovary, ovarian pedicle, or fallopian tube",N8353,"Torsion of ovary, ovarian pedicle and fallopian tube",1,0,0,0,0,one_to_one
6210,Polyp of corpus uteri,N840,Polyp of corpus uteri,1,0,0,0,0,one_to_one
62132,Complex endometrial hyperplasia without atypia,N8501,Benign endometrial hyperplasia,1,0,0,0,0,one_to_one
62133,Endometrial hyperplasia with atypia,N8502,Endometrial intraepithelial neoplasia [EIN],1,0,0,0,0,one_to_one
62135,Endometrial intraepithelial neoplasia [EIN],N8502,Endometrial intraepithelial neoplasia [EIN],1,0,0,0,0,one_to_one
6218,"Other specified disorders of uterus, not elsewhere classified",N858,Other specified noninflammatory disorders of uterus,1,0,0,0,0,one_to_one
6230,Dysplasia of vagina,N893,"Dysplasia of vagina, unspecified",1,0,0,0,0,one_to_one
6234,Old vaginal laceration,N898,Other specified noninflammatory disorders of vagina,1,0,0,0,0,one_to_one
6235,"Leukorrhea, not specified as infective",N898,Other specified noninflammatory disorders of vagina,1,0,0,0,0,one_to_one
6238,Other specified noninflammatory disorders of vagina,N898,Other specified noninflammatory disorders of vagina,1,0,0,0,0,one_to_one
62409,Other dystrophy of vulva,N904,Leukoplakia of vulva,1,0,0,0,0,one_to_one
6242,Hypertrophy of clitoris,N9089,Other specified noninflammatory disorders of vulva and perineum,1,0,0,0,0,one_to_one
6244,Old laceration or scarring of vulva,N9089,Other specified noninflammatory disorders of vulva and perineum,1,0,0,0,0,one_to_one
6245,Hematoma of vulva,N9089,Other specified noninflammatory disorders of vulva and perineum,1,0,0,0,0,one_to_one
6253,Dysmenorrhea,N946,"Dysmenorrhea, unspecified",1,0,0,0,0,one_to_one
6255,Pelvic congestion syndrome,N9489,Other specified conditions associated with female genital organs and menstrual cycle,1,0,0,0,0,one_to_one
6256,"Stress incontinence, female",N393,Stress incontinence (female) (male),1,0,0,0,0,one_to_one
6258,Other specified symptoms associated with female genital organs,N9489,Other specified conditions associated with female genital organs and menstrual cycle,1,0,0,0,0,one_to_one
6260,Absence of menstruation,N912,"Amenorrhea, unspecified",1,0,0,0,0,one_to_one
6261,Scanty or infrequent menstruation,N915,"Oligomenorrhea, unspecified",1,0,0,0,0,one_to_one
6274,Symptomatic states associated with artificial menopause,N958,Other specified menopausal and perimenopausal disorders,1,0,0,0,0,one_to_one
6278,Other specified menopausal and postmenopausal disorders,N958,Other specified menopausal and perimenopausal disorders,1,0,0,0,0,one_to_one
6279,Unspecified menopausal and postmenopausal disorder,N959,Unspecified menopausal and perimenopausal disorder,1,0,0,0,0,one_to_one
6284,"Infertility, female, of cervical or vaginal origin",N978,Female infertility of other origin,1,0,0,0,0,one_to_one
6288,"Infertility, female, of other specified origin",N978,Female infertility of other origin,1,0,0,0,0,one_to_one
62931,Erosion of implanted vaginal mesh and other prosthetic materials to surrounding organ or tissue,T83711A,"Erosion of implanted vaginal mesh to surrounding organ or tissue, initial encounter",1,0,0,0,0,one_to_one
62932,Exposure of implanted vaginal mesh and other prosthetic materials into vagina,T83721A,"Exposure of implanted vaginal mesh into vagina, initial encounter",1,0,0,0,0,one_to_one
62989,Other specified disorders of female genital organs,N9489,Other specified conditions associated with female genital organs and menstrual cycle,1,0,0,0,0,one_to_one
6299,Unspecified disorder of female genital organs,N949,Unspecified condition associated with female genital organs and menstrual cycle,1,0,0,0,0,one_to_one
630,Hydatidiform mole,O019,"Hydatidiform mole, unspecified",1,0,0,0,0,one_to_one
63410,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified",O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,1,0,0,0,0,one_to_one
63412,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete",O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion,1,0,0,0,0,one_to_one
63471,"Spontaneous abortion, with other specified complications, incomplete",O0339,Incomplete spontaneous abortion with other complications,1,0,0,0,0,one_to_one
63481,"Spontaneous abortion, with unspecified complication, incomplete",O0330,Unspecified complication following incomplete spontaneous abortion,1,0,0,0,0,one_to_one
63490,"Spontaneous abortion, without mention of complication, unspecified",O039,Complete or unspecified spontaneous abortion without complication,1,0,0,0,0,one_to_one
63491,"Spontaneous abortion, without mention of complication, incomplete",O034,Incomplete spontaneous abortion without complication,1,0,0,0,0,one_to_one
63492,"Spontaneous abortion, without mention of complication, complete",O039,Complete or unspecified spontaneous abortion without complication,1,0,0,0,0,one_to_one
63510,"Legally induced abortion, complicated by delayed or excessive hemorrhage, unspecified",O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63511,"Legally induced abortion, complicated by delayed or excessive hemorrhage, incomplete",O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63512,"Legally induced abortion, complicated by delayed or excessive hemorrhage, complete",O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63522,"Legally induced abortion, complicated by damage to pelvic organs or tissues, complete",O0484,Damage to pelvic organs following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63532,"Legally induced abortion, complicated by renal failure, complete",O0482,Renal failure following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63552,"Legally induced abortion, complicated by shock, complete",O0481,Shock following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63562,"Legally induced abortion, complicated by embolism, complete",O047,Embolism following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63581,"Legally induced abortion, with unspecified complication, incomplete",O0480,(Induced) termination of pregnancy with unspecified complications,1,0,0,0,0,one_to_one
63590,"Legally induced abortion, without mention of complication, unspecified",Z332,Encounter for elective termination of pregnancy,1,0,0,0,0,one_to_one
63591,"Legally induced abortion, without mention of complication, incomplete",Z332,Encounter for elective termination of pregnancy,1,0,0,0,0,one_to_one
63592,"Legally induced abortion, without mention of complication, complete",Z332,Encounter for elective termination of pregnancy,1,0,0,0,0,one_to_one
63621,"Illegally induced abortion, complicated by damage to pelvic organs or tissues, incomplete",O0484,Damage to pelvic organs following (induced) termination of pregnancy,1,0,0,0,0,one_to_one
63692,"Illegally induced abortion, without mention of complication, complete",Z332,Encounter for elective termination of pregnancy,1,0,0,0,0,one_to_one
63791,"Unspecified abortion, without mention of complication, incomplete",Z332,Encounter for elective termination of pregnancy,1,0,0,0,0,one_to_one
64001,"Threatened abortion, delivered, with or without mention of antepartum condition",O200,Threatened abortion,1,0,0,0,0,one_to_one
64003,"Threatened abortion, antepartum condition or complication",O200,Threatened abortion,1,0,0,0,0,one_to_one
64083,"Other specified hemorrhage in early pregnancy, antepartum condition or complication",O208,Other hemorrhage in early pregnancy,1,0,0,0,0,one_to_one
64093,"Unspecified hemorrhage in early pregnancy, antepartum condition or complication",O209,"Hemorrhage in early pregnancy, unspecified",1,0,0,0,0,one_to_one
64202,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",O1003,Pre-existing essential hypertension complicating the puerperium,1,0,0,0,0,one_to_one
64214,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication",O1043,Pre-existing secondary hypertension complicating the puerperium,1,0,0,0,0,one_to_one
64262,"Eclampsia, delivered, with mention of postpartum complication",O152,Eclampsia complicating the puerperium,1,0,0,0,0,one_to_one
64264,"Eclampsia, postpartum condition or complication",O152,Eclampsia complicating the puerperium,1,0,0,0,0,one_to_one
64272,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with mention of postpartum complication",O114,"Pre-existing hypertension with pre-eclampsia, complicating childbirth",1,0,0,0,0,one_to_one
64274,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication",O115,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium",1,0,0,0,0,one_to_one
64301,"Mild hyperemesis gravidarum, delivered, with or without mention of antepartum condition",O210,Mild hyperemesis gravidarum,1,0,0,0,0,one_to_one
64303,"Mild hyperemesis gravidarum, antepartum condition or complication",O210,Mild hyperemesis gravidarum,1,0,0,0,0,one_to_one
64311,"Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition",O211,Hyperemesis gravidarum with metabolic disturbance,1,0,0,0,0,one_to_one
64313,"Hyperemesis gravidarum with metabolic disturbance, antepartum condition or complication",O211,Hyperemesis gravidarum with metabolic disturbance,1,0,0,0,0,one_to_one
64321,"Late vomiting of pregnancy, delivered, with or without mention of antepartum condition",O212,Late vomiting of pregnancy,1,0,0,0,0,one_to_one
64323,"Late vomiting of pregnancy, antepartum condition or complication",O212,Late vomiting of pregnancy,1,0,0,0,0,one_to_one
64381,"Other vomiting complicating pregnancy, delivered, with or without mention of antepartum condition",O218,Other vomiting complicating pregnancy,1,0,0,0,0,one_to_one
64383,"Other vomiting complicating pregnancy, antepartum condition or complication",O218,Other vomiting complicating pregnancy,1,0,0,0,0,one_to_one
64391,"Unspecified vomiting of pregnancy, delivered, with or without mention of antepartum condition",O219,"Vomiting of pregnancy, unspecified",1,0,0,0,0,one_to_one
64393,"Unspecified vomiting of pregnancy, antepartum condition or complication",O219,"Vomiting of pregnancy, unspecified",1,0,0,0,0,one_to_one
64511,"Post term pregnancy, delivered, with or without mention of antepartum condition",O480,Post-term pregnancy,1,0,0,0,0,one_to_one
64513,"Post term pregnancy, antepartum condition or complication",O480,Post-term pregnancy,1,0,0,0,0,one_to_one
64521,"Prolonged pregnancy, delivered, with or without mention of antepartum condition",O481,Prolonged pregnancy,1,0,0,0,0,one_to_one
64523,"Prolonged pregnancy, antepartum condition or complication",O481,Prolonged pregnancy,1,0,0,0,0,one_to_one
64654,"Asymptomatic bacteriuria in pregnancy, postpartum condition or complication",O9089,"Other complications of the puerperium, not elsewhere classified",1,0,0,0,0,one_to_one
64684,"Other specified complications of pregnancy, postpartum condition or complication",O9089,"Other complications of the puerperium, not elsewhere classified",1,0,0,0,0,one_to_one
64691,"Unspecified complication of pregnancy, delivered, with or without mention of antepartum condition",O9989,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",1,0,0,0,0,one_to_one
64693,"Unspecified complication of pregnancy, antepartum condition or complication",O9989,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",1,0,0,0,0,one_to_one
64784,"Other specified infectious and parasitic diseases of mother, postpartum condition or complication",O9883,Other maternal infectious and parasitic diseases complicating the puerperium,1,0,0,0,0,one_to_one
64792,"Unspecified infection or infestation of mother, delivered, with mention of postpartum complication",O9893,Unspecified maternal infectious and parasitic disease complicating the puerperium,1,0,0,0,0,one_to_one
64794,"Unspecified infection or infestation of mother, postpartum condition or complication",O9893,Unspecified maternal infectious and parasitic disease complicating the puerperium,1,0,0,0,0,one_to_one
64802,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",O2493,Unspecified diabetes mellitus in the puerperium,1,0,0,0,0,one_to_one
64804,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",O2493,Unspecified diabetes mellitus in the puerperium,1,0,0,0,0,one_to_one
64820,"Anemia of mother, unspecified as to episode of care or not applicable",O99019,"Anemia complicating pregnancy, unspecified trimester",1,0,0,0,0,one_to_one
64822,"Anemia of mother, delivered, with mention of postpartum complication",O9903,Anemia complicating the puerperium,1,0,0,0,0,one_to_one
64834,"Drug dependence of mother, postpartum condition or complication",O99325,Drug use complicating the puerperium,1,0,0,0,0,one_to_one
64844,"Mental disorders of mother, postpartum condition or complication",O99345,Other mental disorders complicating the puerperium,1,0,0,0,0,one_to_one
64852,"Congenital cardiovascular disorders of mother, delivered, with mention of postpartum complication",O9943,Diseases of the circulatory system complicating the puerperium,1,0,0,0,0,one_to_one
64854,"Congenital cardiovascular disorders of mother, postpartum condition or complication",O9943,Diseases of the circulatory system complicating the puerperium,1,0,0,0,0,one_to_one
64862,"Other cardiovascular diseases of mother, delivered, with mention of postpartum complication",O9943,Diseases of the circulatory system complicating the puerperium,1,0,0,0,0,one_to_one
64864,"Other cardiovascular diseases of mother, postpartum condition or complication",O9943,Diseases of the circulatory system complicating the puerperium,1,0,0,0,0,one_to_one
64871,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with or without mention of antepartum condition",O330,Maternal care for disproportion due to deformity of maternal pelvic bones,1,0,0,0,0,one_to_one
64872,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with mention of postpartum complication",O330,Maternal care for disproportion due to deformity of maternal pelvic bones,1,0,0,0,0,one_to_one
64873,"Bone and joint disorders of back, pelvis, and lower limbs of mother, antepartum condition or complication",O330,Maternal care for disproportion due to deformity of maternal pelvic bones,1,0,0,0,0,one_to_one
64874,"Bone and joint disorders of back, pelvis, and lower limbs of mother, postpartum condition or complication",O330,Maternal care for disproportion due to deformity of maternal pelvic bones,1,0,0,0,0,one_to_one
64892,"Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication",O99285,"Endocrine, nutritional and metabolic diseases complicating the puerperium",1,0,0,0,0,one_to_one
64904,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",O99335,Smoking (tobacco) complicating the puerperium,1,0,0,0,0,one_to_one
64914,"Obesity complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",O99215,Obesity complicating the puerperium,1,0,0,0,0,one_to_one
64932,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",O9913,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium,1,0,0,0,0,one_to_one
64934,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",O9913,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium,1,0,0,0,0,one_to_one
64944,"Epilepsy complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",O99355,Diseases of the nervous system complicating the puerperium,1,0,0,0,0,one_to_one
64981,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with or without mention of antepartum condition",O7582,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section",1,0,0,0,0,one_to_one
65131,"Twin pregnancy with fetal loss and retention of one fetus, delivered, with or without mention of antepartum condition",O3111X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_one
65133,"Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication",O3111X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_one
65141,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",O3111X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_one
65143,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",O3111X0,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, not applicable or unspecified",1,0,0,0,0,one_to_one
65201,"Unstable lie, delivered, with or without mention of antepartum condition",O320XX0,"Maternal care for unstable lie, not applicable or unspecified",1,0,0,0,0,one_to_one
65211,"Breech or other malpresentation successfully converted to cephalic presentation, delivered, with or without mention of antepartum condition",O321XX0,"Maternal care for breech presentation, not applicable or unspecified",1,0,0,0,0,one_to_one
65221,"Breech presentation without mention of version, delivered, with or without mention of antepartum condition",O321XX0,"Maternal care for breech presentation, not applicable or unspecified",1,0,0,0,0,one_to_one
65223,"Breech presentation without mention of version, antepartum condition or complication",O321XX0,"Maternal care for breech presentation, not applicable or unspecified",1,0,0,0,0,one_to_one
65231,"Transverse or oblique presentation, delivered, with or without mention of antepartum condition",O322XX0,"Maternal care for transverse and oblique lie, not applicable or unspecified",1,0,0,0,0,one_to_one
65233,"Transverse or oblique presentation, antepartum condition or complication",O322XX0,"Maternal care for transverse and oblique lie, not applicable or unspecified",1,0,0,0,0,one_to_one
65241,"Face or brow presentation, delivered, with or without mention of antepartum condition",O323XX0,"Maternal care for face, brow and chin presentation, not applicable or unspecified",1,0,0,0,0,one_to_one
65251,"High head at term, delivered, with or without mention of antepartum condition",O324XX0,"Maternal care for high head at term, not applicable or unspecified",1,0,0,0,0,one_to_one
65261,"Multiple gestation with malpresentation of one fetus or more, delivered, with or without mention of antepartum condition",O329XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",1,0,0,0,0,one_to_one
65263,"Multiple gestation with malpresentation of one fetus or more, antepartum condtion or complication",O329XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",1,0,0,0,0,one_to_one
65271,"Prolapsed arm of fetus, delivered, with or without mention of antepartum condition",O328XX0,"Maternal care for other malpresentation of fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65291,"Unspecified malposition or malpresentation, delivered, with or without mention of antepartum condition",O329XX0,"Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified",1,0,0,0,0,one_to_one
65311,"Generally contracted pelvis, delivered, with or without mention of antepartum condition",O331,Maternal care for disproportion due to generally contracted pelvis,1,0,0,0,0,one_to_one
65331,"Outlet contraction of pelvis, delivered, with or without mention of antepartum condition",O333XX0,"Maternal care for disproportion due to outlet contraction of pelvis, not applicable or unspecified",1,0,0,0,0,one_to_one
65333,"Outlet contraction of pelvis, antepartum condition or complication",O333XX0,"Maternal care for disproportion due to outlet contraction of pelvis, not applicable or unspecified",1,0,0,0,0,one_to_one
65341,"Fetopelvic disproportion, delivered, with or without mention of antepartum condition",O334XX0,"Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified",1,0,0,0,0,one_to_one
65351,"Unusually large fetus causing disproportion, delivered, with or without mention of antepartum condition",O335XX0,"Maternal care for disproportion due to unusually large fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65410,"Tumors of body of uterus, unspecified as to episode of care or not applicable",O3410,"Maternal care for benign tumor of corpus uteri, unspecified trimester",1,0,0,0,0,one_to_one
65420,"Previous cesarean delivery, unspecified as to episode of care or not applicable",O34219,Maternal care for unspecified type scar from previous cesarean delivery,1,0,0,0,0,one_to_one
65501,"Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition",O350XX0,"Maternal care for (suspected) central nervous system malformation in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65503,"Central nervous system malformation in fetus, antepartum condition or complication",O350XX0,"Maternal care for (suspected) central nervous system malformation in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65510,"Chromosomal abnormality in fetus, affecting management of mother, unspecified as to episode of care or not applicable",O351XX0,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65511,"Chromosomal abnormality in fetus, affecting management of mother, delivered, with or without mention of antepartum condition",O351XX0,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65513,"Chromosomal abnormality in fetus, affecting management of mother, antepartum condition or complication",O351XX0,"Maternal care for (suspected) chromosomal abnormality in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65523,"Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication",O352XX0,"Maternal care for (suspected) hereditary disease in fetus, not applicable or unspecified",1,0,0,0,0,one_to_one
65531,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",O353XX0,"Maternal care for (suspected) damage to fetus from viral disease in mother, not applicable or unspecified",1,0,0,0,0,one_to_one
65553,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication",O355XX0,"Maternal care for (suspected) damage to fetus by drugs, not applicable or unspecified",1,0,0,0,0,one_to_one
65581,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, delivered, with or without mention of antepartum condition",O358XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified",1,0,0,0,0,one_to_one
65583,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication",O358XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified",1,0,0,0,0,one_to_one
65591,"Unspecified suspected fetal abnormality, affecting management of mother, delivered, with or without mention of antepartum condition",O359XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified",1,0,0,0,0,one_to_one
65593,"Unspecified suspected fetal abnormality, affecting management of mother, antepartum condition or complication",O359XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified",1,0,0,0,0,one_to_one
