icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
69289,Contact dermatitis and other eczema due to other specified agents,L258,Unspecified contact dermatitis due to other agents,1,0,0,0,0,one_to_many
6930,Dermatitis due to drugs and medicines taken internally,L270,Generalized skin eruption due to drugs and medicaments taken internally,1,0,0,0,0,one_to_many
6930,Dermatitis due to drugs and medicines taken internally,L271,Localized skin eruption due to drugs and medicaments taken internally,1,0,0,0,0,one_to_many
6944,Pemphigus,L100,Pemphigus vulgaris,1,0,0,0,0,one_to_many
6944,Pemphigus,L101,Pemphigus vegetans,1,0,0,0,0,one_to_many
6944,Pemphigus,L102,Pemphigus foliaceous,1,0,0,0,0,one_to_many
6944,Pemphigus,L104,Pemphigus erythematosus,1,0,0,0,0,one_to_many
6944,Pemphigus,L109,"Pemphigus, unspecified",1,0,0,0,0,one_to_many
6945,Pemphigoid,L120,Bullous pemphigoid,1,0,0,0,0,one_to_many
6945,Pemphigoid,L128,Other pemphigoid,1,0,0,0,0,one_to_many
6950,Toxic erythema,L530,Toxic erythema,1,0,0,0,0,one_to_many
6950,Toxic erythema,L531,Erythema annulare centrifugum,1,0,0,0,0,one_to_many
6950,Toxic erythema,L532,Erythema marginatum,1,0,0,0,0,one_to_many
69510,"Erythema multiforme, unspecified",L510,Nonbullous erythema multiforme,1,0,0,0,0,one_to_many
69510,"Erythema multiforme, unspecified",L519,"Erythema multiforme, unspecified",1,0,0,0,0,one_to_many
6953,Rosacea,L710,Perioral dermatitis,1,0,0,0,0,one_to_many
6953,Rosacea,L711,Rhinophyma,1,0,0,0,0,one_to_many
6953,Rosacea,L718,Other rosacea,1,0,0,0,0,one_to_many
6954,Lupus erythematosus,L930,Discoid lupus erythematosus,1,0,0,0,0,one_to_many
6954,Lupus erythematosus,L932,Other local lupus erythematosus,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L26,Exfoliative dermatitis,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L304,Erythema intertrigo,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L538,Other specified erythematous conditions,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L920,Granuloma annulare,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L951,Erythema elevatum diutinum,1,0,0,0,0,one_to_many
69589,Other specified erythematous conditions,L982,Febrile neutrophilic dermatosis [Sweet],1,0,0,0,0,one_to_many
6960,Psoriatic arthropathy,L4054,Psoriatic juvenile arthropathy,1,0,0,0,0,one_to_many
6960,Psoriatic arthropathy,L4059,Other psoriatic arthropathy,1,0,0,0,0,one_to_many
6961,Other psoriasis,L400,Psoriasis vulgaris,1,0,0,0,0,one_to_many
6961,Other psoriasis,L401,Generalized pustular psoriasis,1,0,0,0,0,one_to_many
6961,Other psoriasis,L402,Acrodermatitis continua,1,0,0,0,0,one_to_many
6961,Other psoriasis,L403,Pustulosis palmaris et plantaris,1,0,0,0,0,one_to_many
6961,Other psoriasis,L404,Guttate psoriasis,1,0,0,0,0,one_to_many
6961,Other psoriasis,L408,Other psoriasis,1,0,0,0,0,one_to_many
6962,Parapsoriasis,L410,Pityriasis lichenoides et varioliformis acuta,1,0,0,0,0,one_to_many
6962,Parapsoriasis,L411,Pityriasis lichenoides chronica,1,0,0,0,0,one_to_many
6962,Parapsoriasis,L418,Other parapsoriasis,1,0,0,0,0,one_to_many
6970,Lichen planus,L438,Other lichen planus,1,0,0,0,0,one_to_many
6970,Lichen planus,L661,Lichen planopilaris,1,0,0,0,0,one_to_many
6983,Lichenification and lichen simplex chronicus,L280,Lichen simplex chronicus,1,0,0,0,0,one_to_many
6983,Lichenification and lichen simplex chronicus,L281,Prurigo nodularis,1,0,0,0,0,one_to_many
7010,Circumscribed scleroderma,L900,Lichen sclerosus et atrophicus,1,0,0,0,0,one_to_many
7010,Circumscribed scleroderma,L940,Localized scleroderma [morphea],1,0,0,0,0,one_to_many
