Order2018	POAexemptCode	Description
62070	S82.851R	"Displaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62071	S82.851S	"Displaced trimalleolar fracture of right lower leg, sequela"
62076	S82.852D	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
62077	S82.852E	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
62078	S82.852F	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62079	S82.852G	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
62080	S82.852H	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62081	S82.852J	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62082	S82.852K	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
62083	S82.852M	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
62084	S82.852N	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62085	S82.852P	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
62086	S82.852Q	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
62087	S82.852R	"Displaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62088	S82.852S	"Displaced trimalleolar fracture of left lower leg, sequela"
62093	S82.853D	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
62094	S82.853E	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
62095	S82.853F	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62096	S82.853G	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
62097	S82.853H	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62098	S82.853J	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62099	S82.853K	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
62100	S82.853M	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
62101	S82.853N	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62102	S82.853P	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
62103	S82.853Q	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
62104	S82.853R	"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62105	S82.853S	"Displaced trimalleolar fracture of unspecified lower leg, sequela"
62110	S82.854D	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
62111	S82.854E	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
62112	S82.854F	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62113	S82.854G	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
62114	S82.854H	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62115	S82.854J	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62116	S82.854K	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
62117	S82.854M	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
62118	S82.854N	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62119	S82.854P	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for closed fracture with malunion"
62120	S82.854Q	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
62121	S82.854R	"Nondisplaced trimalleolar fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62122	S82.854S	"Nondisplaced trimalleolar fracture of right lower leg, sequela"
62127	S82.855D	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
62128	S82.855E	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
62129	S82.855F	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62130	S82.855G	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
62131	S82.855H	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62132	S82.855J	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62133	S82.855K	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
62134	S82.855M	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
62135	S82.855N	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62136	S82.855P	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for closed fracture with malunion"
62137	S82.855Q	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
62138	S82.855R	"Nondisplaced trimalleolar fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62139	S82.855S	"Nondisplaced trimalleolar fracture of left lower leg, sequela"
62144	S82.856D	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
62145	S82.856E	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
62146	S82.856F	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62147	S82.856G	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
62148	S82.856H	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62149	S82.856J	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62150	S82.856K	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
62151	S82.856M	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with nonunion"
62152	S82.856N	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62153	S82.856P	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion"
62154	S82.856Q	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with malunion"
62155	S82.856R	"Nondisplaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62156	S82.856S	"Nondisplaced trimalleolar fracture of unspecified lower leg, sequela"
62162	S82.861D	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with routine healing"
62163	S82.861E	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with routine healing"
62164	S82.861F	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62165	S82.861G	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with delayed healing"
62166	S82.861H	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with delayed healing"
62167	S82.861J	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62168	S82.861K	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with nonunion"
62169	S82.861M	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with nonunion"
62170	S82.861N	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62171	S82.861P	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with malunion"
62172	S82.861Q	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with malunion"
62173	S82.861R	"Displaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62174	S82.861S	"Displaced Maisonneuve's fracture of right leg, sequela"
62179	S82.862D	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with routine healing"
62180	S82.862E	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with routine healing"
62181	S82.862F	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62182	S82.862G	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with delayed healing"
62183	S82.862H	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with delayed healing"
62184	S82.862J	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62185	S82.862K	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with nonunion"
62186	S82.862M	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with nonunion"
62187	S82.862N	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62188	S82.862P	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with malunion"
62189	S82.862Q	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with malunion"
62190	S82.862R	"Displaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62191	S82.862S	"Displaced Maisonneuve's fracture of left leg, sequela"
62196	S82.863D	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with routine healing"
62197	S82.863E	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with routine healing"
62198	S82.863F	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62199	S82.863G	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with delayed healing"
62200	S82.863H	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with delayed healing"
62201	S82.863J	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62202	S82.863K	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with nonunion"
62203	S82.863M	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with nonunion"
62204	S82.863N	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62205	S82.863P	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with malunion"
62206	S82.863Q	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with malunion"
62207	S82.863R	"Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62208	S82.863S	"Displaced Maisonneuve's fracture of unspecified leg, sequela"
62213	S82.864D	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with routine healing"
62214	S82.864E	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with routine healing"
62215	S82.864F	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62216	S82.864G	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with delayed healing"
62217	S82.864H	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with delayed healing"
62218	S82.864J	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62219	S82.864K	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with nonunion"
62220	S82.864M	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with nonunion"
62221	S82.864N	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62222	S82.864P	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for closed fracture with malunion"
62223	S82.864Q	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type I or II with malunion"
62224	S82.864R	"Nondisplaced Maisonneuve's fracture of right leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62225	S82.864S	"Nondisplaced Maisonneuve's fracture of right leg, sequela"
62230	S82.865D	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with routine healing"
62231	S82.865E	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with routine healing"
62232	S82.865F	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62233	S82.865G	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with delayed healing"
62234	S82.865H	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with delayed healing"
62235	S82.865J	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62236	S82.865K	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with nonunion"
62237	S82.865M	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with nonunion"
62238	S82.865N	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62239	S82.865P	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with malunion"
62240	S82.865Q	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type I or II with malunion"
62241	S82.865R	"Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62242	S82.865S	"Nondisplaced Maisonneuve's fracture of left leg, sequela"
62247	S82.866D	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with routine healing"
62248	S82.866E	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with routine healing"
62249	S82.866F	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62250	S82.866G	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with delayed healing"
62251	S82.866H	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with delayed healing"
62252	S82.866J	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62253	S82.866K	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with nonunion"
62254	S82.866M	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with nonunion"
62255	S82.866N	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62256	S82.866P	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with malunion"
62257	S82.866Q	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with malunion"
62258	S82.866R	"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62259	S82.866S	"Nondisplaced Maisonneuve's fracture of unspecified leg, sequela"
62265	S82.871D	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with routine healing"
62266	S82.871E	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with routine healing"
62267	S82.871F	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62268	S82.871G	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with delayed healing"
62269	S82.871H	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
62270	S82.871J	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62271	S82.871K	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with nonunion"
62272	S82.871M	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with nonunion"
62273	S82.871N	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62274	S82.871P	"Displaced pilon fracture of right tibia, subsequent encounter for closed fracture with malunion"
62275	S82.871Q	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with malunion"
62276	S82.871R	"Displaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62277	S82.871S	"Displaced pilon fracture of right tibia, sequela"
62282	S82.872D	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with routine healing"
62283	S82.872E	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with routine healing"
62284	S82.872F	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62285	S82.872G	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with delayed healing"
62286	S82.872H	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
62287	S82.872J	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62288	S82.872K	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with nonunion"
62289	S82.872M	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with nonunion"
62290	S82.872N	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62291	S82.872P	"Displaced pilon fracture of left tibia, subsequent encounter for closed fracture with malunion"
62292	S82.872Q	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with malunion"
62293	S82.872R	"Displaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62294	S82.872S	"Displaced pilon fracture of left tibia, sequela"
62299	S82.873D	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with routine healing"
62300	S82.873E	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
62301	S82.873F	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62302	S82.873G	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
62303	S82.873H	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
62304	S82.873J	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62305	S82.873K	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with nonunion"
62306	S82.873M	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
62307	S82.873N	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62308	S82.873P	"Displaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with malunion"
62309	S82.873Q	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
62310	S82.873R	"Displaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62311	S82.873S	"Displaced pilon fracture of unspecified tibia, sequela"
62316	S82.874D	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with routine healing"
62317	S82.874E	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with routine healing"
62318	S82.874F	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62319	S82.874G	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with delayed healing"
62320	S82.874H	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with delayed healing"
62321	S82.874J	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62322	S82.874K	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with nonunion"
62323	S82.874M	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with nonunion"
62324	S82.874N	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62325	S82.874P	"Nondisplaced pilon fracture of right tibia, subsequent encounter for closed fracture with malunion"
62326	S82.874Q	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type I or II with malunion"
62327	S82.874R	"Nondisplaced pilon fracture of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62328	S82.874S	"Nondisplaced pilon fracture of right tibia, sequela"
62333	S82.875D	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with routine healing"
62334	S82.875E	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with routine healing"
62335	S82.875F	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62336	S82.875G	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with delayed healing"
62337	S82.875H	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with delayed healing"
62338	S82.875J	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62339	S82.875K	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with nonunion"
62340	S82.875M	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with nonunion"
62341	S82.875N	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62342	S82.875P	"Nondisplaced pilon fracture of left tibia, subsequent encounter for closed fracture with malunion"
62343	S82.875Q	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type I or II with malunion"
62344	S82.875R	"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62345	S82.875S	"Nondisplaced pilon fracture of left tibia, sequela"
62350	S82.876D	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with routine healing"
62351	S82.876E	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
62352	S82.876F	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62353	S82.876G	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with delayed healing"
62354	S82.876H	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
62355	S82.876J	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62356	S82.876K	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with nonunion"
62357	S82.876M	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with nonunion"
62358	S82.876N	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62359	S82.876P	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for closed fracture with malunion"
62360	S82.876Q	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with malunion"
62361	S82.876R	"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62362	S82.876S	"Nondisplaced pilon fracture of unspecified tibia, sequela"
62368	S82.891D	"Other fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
62369	S82.891E	"Other fracture of right lower leg, subsequent encounter for open fracture type I or II with routine healing"
62370	S82.891F	"Other fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62371	S82.891G	"Other fracture of right lower leg, subsequent encounter for closed fracture with delayed healing"
62372	S82.891H	"Other fracture of right lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62373	S82.891J	"Other fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62374	S82.891K	"Other fracture of right lower leg, subsequent encounter for closed fracture with nonunion"
62375	S82.891M	"Other fracture of right lower leg, subsequent encounter for open fracture type I or II with nonunion"
62376	S82.891N	"Other fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62377	S82.891P	"Other fracture of right lower leg, subsequent encounter for closed fracture with malunion"
62378	S82.891Q	"Other fracture of right lower leg, subsequent encounter for open fracture type I or II with malunion"
62379	S82.891R	"Other fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62380	S82.891S	"Other fracture of right lower leg, sequela"
62385	S82.892D	"Other fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
62386	S82.892E	"Other fracture of left lower leg, subsequent encounter for open fracture type I or II with routine healing"
62387	S82.892F	"Other fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62388	S82.892G	"Other fracture of left lower leg, subsequent encounter for closed fracture with delayed healing"
62389	S82.892H	"Other fracture of left lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62390	S82.892J	"Other fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62391	S82.892K	"Other fracture of left lower leg, subsequent encounter for closed fracture with nonunion"
62392	S82.892M	"Other fracture of left lower leg, subsequent encounter for open fracture type I or II with nonunion"
62393	S82.892N	"Other fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
62394	S82.892P	"Other fracture of left lower leg, subsequent encounter for closed fracture with malunion"
62395	S82.892Q	"Other fracture of left lower leg, subsequent encounter for open fracture type I or II with malunion"
62396	S82.892R	"Other fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
62397	S82.892S	"Other fracture of left lower leg, sequela"
62402	S82.899D	"Other fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
62403	S82.899E	"Other fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with routine healing"
62404	S82.899F	"Other fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
62405	S82.899G	"Other fracture of unspecified lower leg, subsequent encounter for closed fracture with delayed healing"
62406	S82.899H	"Other fracture of unspecified lower leg, subsequent encounter for open fracture type I or II with delayed healing"
62407	S82.899J	"Other fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
62408	S82.899K	"Other fracture of unspecified lower leg, subsequent encounter for closed fracture with nonunion"
