Order2018	Action	Code	Description
51155	Revise to	S62.623K	"Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with nonunion"
51156	Revise from	S62.623P	"Displaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with malunion"
51156	Revise to	S62.623P	"Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with malunion"
51157	Revise from	S62.623S	"Displaced fracture of medial phalanx of left middle finger, sequela"
51157	Revise to	S62.623S	"Displaced fracture of middle phalanx of left middle finger, sequela"
51161	Revise from	S62.624D	"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with routine healing"
51161	Revise to	S62.624D	"Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with routine healing"
51162	Revise from	S62.624G	"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with delayed healing"
51162	Revise to	S62.624G	"Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with delayed healing"
51163	Revise from	S62.624K	"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with nonunion"
51163	Revise to	S62.624K	"Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with nonunion"
51164	Revise from	S62.624P	"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with malunion"
51164	Revise to	S62.624P	"Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with malunion"
51165	Revise from	S62.624S	"Displaced fracture of medial phalanx of right ring finger, sequela"
51165	Revise to	S62.624S	"Displaced fracture of middle phalanx of right ring finger, sequela"
51169	Revise from	S62.625D	"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with routine healing"
51169	Revise to	S62.625D	"Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with routine healing"
51170	Revise from	S62.625G	"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with delayed healing"
51170	Revise to	S62.625G	"Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with delayed healing"
51171	Revise from	S62.625K	"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with nonunion"
51171	Revise to	S62.625K	"Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with nonunion"
51172	Revise from	S62.625P	"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with malunion"
51172	Revise to	S62.625P	"Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with malunion"
51173	Revise from	S62.625S	"Displaced fracture of medial phalanx of left ring finger, sequela"
51173	Revise to	S62.625S	"Displaced fracture of middle phalanx of left ring finger, sequela"
51372	Revise from	S62.650D	"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with routine healing"
51372	Revise to	S62.650D	"Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with routine healing"
